Date/Time,GSHP:Water to Water Heat Pump Source Side Heat Transfer Rate [W](Hourly) 
 01/01  01:00:00,0
 01/01  02:00:00,0
 01/01  03:00:00,0
 01/01  04:00:00,0
 01/01  05:00:00,-77.52640561
 01/01  06:00:00,-220.1107564
 01/01  07:00:00,-4879.64883
 01/01  08:00:00,-13604.26808
 01/01  09:00:00,-8500.131225
 01/01  10:00:00,-6017.677827
 01/01  11:00:00,-4980.600013
 01/01  12:00:00,-4425.065883
 01/01  13:00:00,-4139.035588
 01/01  14:00:00,-3806.258649
 01/01  15:00:00,-3633.504117
 01/01  16:00:00,-3642.865336
 01/01  17:00:00,-3741.055614
 01/01  18:00:00,-3878.315905
 01/01  19:00:00,-627.1312924
 01/01  20:00:00,0
 01/01  21:00:00,0
 01/01  22:00:00,0
 01/01  23:00:00,0
 01/01  24:00:00,0
 01/02  01:00:00,0
 01/02  02:00:00,0
 01/02  03:00:00,0
 01/02  04:00:00,0
 01/02  05:00:00,0
 01/02  06:00:00,0
 01/02  07:00:00,-2823.218317
 01/02  08:00:00,-10103.69779
 01/02  09:00:00,-5844.56847
 01/02  10:00:00,-3786.134819
 01/02  11:00:00,-3166.511078
 01/02  12:00:00,-2995.284363
 01/02  13:00:00,-3016.30594
 01/02  14:00:00,-3173.334448
 01/02  15:00:00,-3473.271718
 01/02  16:00:00,-3410.086099
 01/02  17:00:00,-3397.907921
 01/02  18:00:00,-3692.818206
 01/02  19:00:00,-603.1549073
 01/02  20:00:00,0
 01/02  21:00:00,0
 01/02  22:00:00,0
 01/02  23:00:00,0
 01/02  24:00:00,0
 01/03  01:00:00,0
 01/03  02:00:00,0
 01/03  03:00:00,0
 01/03  04:00:00,0
 01/03  05:00:00,0
 01/03  06:00:00,0
 01/03  07:00:00,-3205.343134
 01/03  08:00:00,-10895.2337
 01/03  09:00:00,-6780.70186
 01/03  10:00:00,-5000.576493
 01/03  11:00:00,-4408.353047
 01/03  12:00:00,-4233.277833
 01/03  13:00:00,-4180.412502
 01/03  14:00:00,-4049.925226
 01/03  15:00:00,-4012.483762
 01/03  16:00:00,-4033.448005
 01/03  17:00:00,-4189.50673
 01/03  18:00:00,-4412.781112
 01/03  19:00:00,-706.9177987
 01/03  20:00:00,0
 01/03  21:00:00,0
 01/03  22:00:00,0
 01/03  23:00:00,0
 01/03  24:00:00,0
 01/04  01:00:00,0
 01/04  02:00:00,0
 01/04  03:00:00,0
 01/04  04:00:00,0
 01/04  05:00:00,0
 01/04  06:00:00,0
 01/04  07:00:00,-3255.103989
 01/04  08:00:00,-10987.03365
 01/04  09:00:00,-6533.871561
 01/04  10:00:00,-4458.58232
 01/04  11:00:00,-3845.886248
 01/04  12:00:00,-3724.417621
 01/04  13:00:00,-3649.216907
 01/04  14:00:00,-3534.246739
 01/04  15:00:00,-3561.439111
 01/04  16:00:00,-3659.841808
 01/04  17:00:00,-4098.192297
 01/04  18:00:00,-4796.9462
 01/04  19:00:00,-793.3335011
 01/04  20:00:00,0
 01/04  21:00:00,0
 01/04  22:00:00,0
 01/04  23:00:00,0
 01/04  24:00:00,0
 01/05  01:00:00,0
 01/05  02:00:00,0
 01/05  03:00:00,0
 01/05  04:00:00,-23.41951673
 01/05  05:00:00,-142.9359408
