Date/Time,Loads [W],Mass Flow Rate [kg/s]
 01/01  01:00:00,-112.6133351,0.1
 01/01  02:00:00,-237.0821543,0.1
 01/01  03:00:00,-218.2370295,0.1
 01/01  04:00:00,-333.9601077,0.1
 01/01  05:00:00,-280.8347838,0.1
 01/01  06:00:00,-407.488546,0.1
 01/01  07:00:00,-326.2592673,0.1
 01/01  08:00:00,-459.1621186,0.1
 01/01  09:00:00,-3138.456334,0.1
 01/01  10:00:00,-2528.897761,0.1
 01/01  11:00:00,-2082.069509,0.1
 01/01  12:00:00,-1791.909189,0.1
 01/01  13:00:00,-1480.658896,0.1
 01/01  14:00:00,-1283.180266,0.1
 01/01  15:00:00,-1156.072628,0.1
 01/01  16:00:00,-1105.897456,0.1
 01/01  17:00:00,-1173.786461,0.1
 01/01  18:00:00,-1672.07515,0.1
 01/01  19:00:00,-1925.279089,0.1
 01/01  20:00:00,0,0.1
 01/01  21:00:00,0,0.1
 01/01  22:00:00,0,0.1
 01/01  23:00:00,0,0.1
 01/01  24:00:00,0,0.1
 01/02  01:00:00,-100.4836469,0.1
 01/02  02:00:00,-218.826565,0.1
 01/02  03:00:00,-203.3445536,0.1
 01/02  04:00:00,-317.0541391,0.1
 01/02  05:00:00,-256.2077878,0.1
 01/02  06:00:00,-365.8024112,0.1
 01/02  07:00:00,-3140.790972,0.1
 01/02  08:00:00,-2558.623936,0.1
 01/02  09:00:00,-2114.907131,0.1
 01/02  10:00:00,-1572.591632,0.1
 01/02  11:00:00,-1232.54691,0.1
 01/02  12:00:00,-919.4672414,0.1
 01/02  13:00:00,-714.0928701,0.1
 01/02  14:00:00,-586.3852373,0.1
 01/02  15:00:00,-487.8933713,0.1
 01/02  16:00:00,-426.1121002,0.1
 01/02  17:00:00,-556.8962648,0.1
 01/02  18:00:00,-778.1530594,0.1
 01/02  19:00:00,-930.1643327,0.1
 01/02  20:00:00,-1045.30038,0.1
 01/02  21:00:00,-1115.964942,0.1
 01/02  22:00:00,0,0.1
 01/02  23:00:00,0,0.1
 01/02  24:00:00,0,0.1
 01/03  01:00:00,0,0.1
 01/03  02:00:00,0,0.1
 01/03  03:00:00,0,0.1
 01/03  04:00:00,0,0.1
 01/03  05:00:00,0,0.1
 01/03  06:00:00,0,0.1
 01/03  07:00:00,-2257.809163,0.1
 01/03  08:00:00,-1803.361135,0.1
 01/03  09:00:00,-1551.293991,0.1
 01/03  10:00:00,-1225.030536,0.1
 01/03  11:00:00,-1095.008213,0.1
 01/03  12:00:00,-961.9288931,0.1
 01/03  13:00:00,-876.7819603,0.1
 01/03  14:00:00,-706.4726639,0.1
 01/03  15:00:00,-596.5523054,0.1
 01/03  16:00:00,-536.4818162,0.1
 01/03  17:00:00,-632.9569522,0.1
 01/03  18:00:00,-868.1352819,0.1
 01/03  19:00:00,-1041.18445,0.1
 01/03  20:00:00,-1204.219558,0.1
 01/03  21:00:00,-1293.012399,0.1
 01/03  22:00:00,0,0.1
 01/03  23:00:00,0,0.1
 01/03  24:00:00,0,0.1
 01/04  01:00:00,0,0.1
 01/04  02:00:00,0,0.1
 01/04  03:00:00,0,0.1
 01/04  04:00:00,-26.12211111,0.1
 01/04  05:00:00,-153.7205179,0.1
 01/04  06:00:00,-190.7310413,0.1
 01/04  07:00:00,-3018.106401,0.1
 01/04  08:00:00,-2440.476496,0.1
 01/04  09:00:00,-2058.794843,0.1
 01/04  10:00:00,-1725.314091,0.1
 01/04  11:00:00,-1652.715019,0.1
 01/04  12:00:00,-1535.202498,0.1
 01/04  13:00:00,-1466.907307,0.1
 01/04  14:00:00,-1398.056614,0.1
 01/04  15:00:00,-1353.533307,0.1
 01/04  16:00:00,-1341.490887,0.1
 01/04  17:00:00,-1440.895902,0.1
 01/04  18:00:00,-1643.296562,0.1
 01/04  19:00:00,-1783.469388,0.1
 01/04  20:00:00,-1925.83177,0.1
 01/04  21:00:00,-2027.591189,0.1
 01/04  22:00:00,0,0.1
 01/04  23:00:00,0,0.1
 01/04  24:00:00,-50.84988308,0.1
 01/05  01:00:00,-226.4647736,0.1
 01/05  02:00:00,-267.000382,0.1
 01/05  03:00:00,-352.4065729,0.1
 01/05  04:00:00,-358.0094768,0.1
 01/05  05:00:00,-422.948006,0.1
 01/05  06:00:00,-405.6318473,0.1
 01/05  07:00:00,-3365.598909,0.1
 01/05  08:00:00,-2950.522263,0.1
 01/05  09:00:00,-2682.302263,0.1
 01/05  10:00:00,-2336.161887,0.1
 01/05  11:00:00,-2091.752043,0.1
 01/05  12:00:00,-1890.28902,0.1
 01/05  13:00:00,-1719.157198,0.1
 01/05  14:00:00,-1554.933867,0.1
 01/05  15:00:00,-1479.978989,0.1
 01/05  16:00:00,-1447.378198,0.1
 01/05  17:00:00,-1490.481425,0.1
 01/05  18:00:00,-1608.725173,0.1
 01/05  19:00:00,-1856.703778,0.1
 01/05  20:00:00,-2006.462603,0.1
 01/05  21:00:00,-2076.896474,0.1
 01/05  22:00:00,-2199.054365,0.1
 01/05  23:00:00,0,0.1
 01/05  24:00:00,0,0.1
 01/06  01:00:00,-48.56342181,0.1
 01/06  02:00:00,-216.3578052,0.1
 01/06  03:00:00,-252.0606078,0.1
 01/06  04:00:00,-343.8927535,0.1
 01/06  05:00:00,-365.423292,0.1
 01/06  06:00:00,-435.9307691,0.1
 01/06  07:00:00,-418.6647757,0.1
 01/06  08:00:00,-478.7274844,0.1
 01/06  09:00:00,-3373.800594,0.1
 01/06  10:00:00,-2888.220388,0.1
 01/06  11:00:00,-2562.792137,0.1
 01/06  12:00:00,-2385.815118,0.1
 01/06  13:00:00,-2148.541783,0.1
 01/06  14:00:00,-2038.421127,0.1
 01/06  15:00:00,-1973.374832,0.1
 01/06  16:00:00,-1941.659939,0.1
 01/06  17:00:00,-1936.917218,0.1
 01/06  18:00:00,-2337.238807,0.1
 01/06  19:00:00,-2467.352513,0.1
 01/06  20:00:00,0,0.1
 01/06  21:00:00,0,0.1
 01/06  22:00:00,-68.94039566,0.1
 01/06  23:00:00,-162.3698284,0.1
 01/06  24:00:00,-273.4867126,0.1
 01/07  01:00:00,-235.9389131,0.1
 01/07  02:00:00,-360.7041157,0.1
 01/07  03:00:00,-294.6342574,0.1
 01/07  04:00:00,-418.7067435,0.1
 01/07  05:00:00,-327.1471243,0.1
 01/07  06:00:00,-458.0361524,0.1
 01/07  07:00:00,-3314.508805,0.1
 01/07  08:00:00,-2864.876923,0.1
 01/07  09:00:00,-2497.312133,0.1
 01/07  10:00:00,-2047.723813,0.1
 01/07  11:00:00,-1824.203831,0.1
 01/07  12:00:00,-1580.077053,0.1
 01/07  13:00:00,-1401.508827,0.1
 01/07  14:00:00,-1261.554945,0.1
 01/07  15:00:00,-1182.637808,0.1
 01/07  16:00:00,-1156.127401,0.1
 01/07  17:00:00,-1244.580151,0.1
 01/07  18:00:00,-1400.240257,0.1
 01/07  19:00:00,-1542.375048,0.1
 01/07  20:00:00,-1688.089628,0.1
 01/07  21:00:00,-1834.046917,0.1
 01/07  22:00:00,0,0.1
 01/07  23:00:00,0,0.1
 01/07  24:00:00,0,0.1
 01/08  01:00:00,-42.14742899,0.1
 01/08  02:00:00,-203.9052682,0.1
 01/08  03:00:00,-249.8722803,0.1
 01/08  04:00:00,-332.5953877,0.1
 01/08  05:00:00,-337.0393289,0.1
 01/08  06:00:00,-397.9020203,0.1
 01/08  07:00:00,-3330.188467,0.1
 01/08  08:00:00,-2886.492393,0.1
 01/08  09:00:00,-2487.072468,0.1
 01/08  10:00:00,-2019.972556,0.1
 01/08  11:00:00,-1763.581658,0.1
 01/08  12:00:00,-1498.469622,0.1
 01/08  13:00:00,-1327.700603,0.1
 01/08  14:00:00,-1211.78346,0.1
 01/08  15:00:00,-1127.29319,0.1
