Date/Time,PSZ-AC:1:Air System Total Heating Energy [J](Hourly),PSZ-AC:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC:2:Air System Total Heating Energy [J](Hourly),PSZ-AC:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC:3:Air System Total Heating Energy [J](Hourly),PSZ-AC:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC:4:Air System Total Heating Energy [J](Hourly),PSZ-AC:4:Air System Total Cooling Energy [J](Hourly),PSZ-AC:5:Air System Total Heating Energy [J](Hourly),PSZ-AC:5:Air System Total Cooling Energy [J](Hourly)
 01/21  01:00:00,17234884.94922014,0.0,21364806.527234567,0.0,13668143.235802835,0.0,20517779.583546767,0.0,13655438.812885968,0.0
 01/21  02:00:00,13009076.971939557,0.0,16471773.09400567,0.0,10496494.988285529,0.0,15786300.986877352,0.0,10486619.108313825,0.0
 01/21  03:00:00,17323128.857695894,0.0,21458373.004784075,0.0,13731675.648950139,0.0,20607254.417822474,0.0,13718928.51031076,0.0
 01/21  04:00:00,13070196.097434143,0.0,16538749.398862688,0.0,10540475.274722638,0.0,15850320.983189647,0.0,10530569.460677527,0.0
 01/21  05:00:00,17388832.5845389,0.0,21526592.973698446,0.0,13777828.362052668,0.0,20672537.29632675,0.0,13765051.153465515,0.0
 01/21  06:00:00,13111750.33032855,0.0,16588025.665565854,0.0,10572738.36380188,0.0,15897473.29022548,0.0,10562811.349742456,0.0
 01/21  07:00:00,11648205.932993314,0.0,20081778.305782197,0.0,12563486.144311564,0.0,18991453.466915899,0.0,12549262.158769537,0.0
 01/21  08:00:00,24196755.91659462,0.0,28967610.809124136,0.0,17705305.652174634,0.0,27955840.16566309,0.0,17692070.320135684,0.0
 01/21  09:00:00,23889478.130846248,0.0,28578776.191859597,0.0,17446604.298432825,0.0,27577742.18645171,0.0,17433540.57776309,0.0
 01/21  10:00:00,23733522.490443704,0.0,28397659.189667748,0.0,17329111.439171994,0.0,27402710.57539395,0.0,17316126.505161067,0.0
 01/21  11:00:00,23640297.61454468,0.0,28281320.068856516,0.0,17255009.41451433,0.0,27291074.686392428,0.0,17242075.990290207,0.0
 01/21  12:00:00,23560476.004099065,0.0,28192538.86421867,0.0,17198962.812741717,0.0,27206209.144760275,0.0,17186068.916108025,0.0
 01/21  13:00:00,23504062.252293119,0.0,28120701.282174566,0.0,17153818.638993734,0.0,27137651.589106949,0.0,17140956.589881675,0.0
 01/21  14:00:00,23456403.59921543,0.0,28061212.171380864,0.0,17116529.168692676,0.0,27080899.937523594,0.0,17103693.20502851,0.0
 01/21  15:00:00,23423457.74566885,0.0,28013853.955812657,0.0,17086930.819067796,0.0,27035751.647959159,0.0,17074115.569257805,0.0
 01/21  16:00:00,23393642.682772887,0.0,27973352.11331437,0.0,17061665.66304437,0.0,26997120.16919881,0.0,17048867.910445349,0.0
 01/21  17:00:00,23361147.3016735,0.0,27937290.998367385,0.0,17039154.374966425,0.0,26962661.55178218,0.0,17026371.74954614,0.0
 01/21  18:00:00,23345474.628684325,0.0,27906076.336352096,0.0,17019669.291472604,0.0,26932788.821279304,0.0,17006899.38163444,0.0
 01/21  19:00:00,14396326.371184178,0.0,18182671.622050395,0.0,11538829.804253163,0.0,17436821.387820893,0.0,11528045.624673985,0.0
 01/21  20:00:00,12474766.456430495,0.0,15836851.750402924,0.0,10064209.050363554,0.0,15172405.737679897,0.0,10054643.95047073,0.0
 01/21  21:00:00,16879739.374547077,0.0,20973427.787373719,0.0,13396237.314977177,0.0,20140658.227842668,0.0,13383715.0283565,0.0
