Date/Time,PSZ-AC:1:Air System Total Heating Energy [J](Hourly),PSZ-AC:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC:2:Air System Total Heating Energy [J](Hourly),PSZ-AC:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC:3:Air System Total Heating Energy [J](Hourly),PSZ-AC:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC:4:Air System Total Heating Energy [J](Hourly),PSZ-AC:4:Air System Total Cooling Energy [J](Hourly),PSZ-AC:5:Air System Total Heating Energy [J](Hourly),PSZ-AC:5:Air System Total Cooling Energy [J](Hourly)
 01/21  01:00:00,17235810.19673977,0.0,21398047.738925823,0.0,13671720.431475955,0.0,20522656.081191116,0.0,13658754.26862534,0.0
 01/21  02:00:00,13009554.344921977,0.0,16488370.273084656,0.0,10498377.774992824,0.0,15788764.289827746,0.0,10488364.335292355,0.0
 01/21  03:00:00,17324066.28842092,0.0,21491615.429089164,0.0,13735284.715841087,0.0,20612143.889207804,0.0,13722273.688913096,0.0
 01/21  04:00:00,13070680.7567513,0.0,16555350.844885339,0.0,10542375.754157445,0.0,15852792.717061693,0.0,10532331.216769839,0.0
 01/21  05:00:00,17389779.311814585,0.0,21559837.114149535,0.0,13781460.73657209,0.0,20677436.593136453,0.0,13768418.077629257,0.0
 01/21  06:00:00,13112240.318893969,0.0,16604630.907697868,0.0,10574651.945602479,0.0,15899951.510732785,0.0,10564585.354214419,0.0
 01/21  07:00:00,11649051.710940674,0.0,20085494.214501397,0.0,12566356.28537798,0.0,18992900.913765976,0.0,12551925.73940886,0.0
 01/21  08:00:00,23759249.68690898,0.0,28636176.12340532,0.0,17509002.524454599,0.0,27624259.788433047,0.0,17495731.964737499,0.0
 01/21  09:00:00,23451876.57047191,0.0,28247125.59690459,0.0,17250022.12435302,0.0,27246046.710096197,0.0,17236941.93896056,0.0
 01/21  10:00:00,23295891.889690523,0.0,28065949.06106407,0.0,17132446.833046039,0.0,27070979.9133458,0.0,17119450.94547672,0.0
 01/21  11:00:00,23202655.805664187,0.0,27949586.818067429,0.0,17058307.916752526,0.0,26959328.94706299,0.0,17045366.030851909,0.0
 01/21  12:00:00,23122827.247191237,0.0,27860793.171933209,0.0,17002238.630394944,0.0,26874454.56448502,0.0,16989337.821809438,0.0
 01/21  13:00:00,23066409.101189794,0.0,27788947.314169188,0.0,16957077.98557118,0.0,26805890.799735577,0.0,16944210.15748095,0.0
 01/21  14:00:00,23018746.272865867,0.0,27729451.972622646,0.0,16919775.572269463,0.0,26749134.327068286,0.0,16906934.72026549,0.0
 01/21  15:00:00,22985796.959124149,0.0,27682089.036930179,0.0,16890167.16812056,0.0,26703982.327700274,0.0,16877347.720022806,0.0
 01/21  16:00:00,22955978.46998241,0.0,27641583.26161231,0.0,16864893.537079619,0.0,26665347.72257,0.0,16852092.16658424,0.0
 01/21  17:00:00,22923480.060684556,0.0,27605518.668204134,0.0,16842374.81756833,0.0,26630886.302606577,0.0,16829589.08298878,0.0
 01/21  18:00:00,22907805.326224757,0.0,27574301.028656275,0.0,16822883.38655426,0.0,26601011.15044829,0.0,16810110.804399074,0.0
 01/21  19:00:00,14397527.11764846,0.0,18209795.914743987,0.0,11542272.692836116,0.0,17441725.870165606,0.0,11531268.153263387,0.0
 01/21  20:00:00,12475214.600693267,0.0,15853430.503642522,0.0,10065949.533284143,0.0,15174817.099883587,0.0,10056257.17174454,0.0
 01/21  21:00:00,16880646.515758426,0.0,21006682.60876151,0.0,13399706.083958909,0.0,20145502.008926367,0.0,13386930.141936863,0.0
 01/21  22:00:00,12789617.963032267,0.0,16245796.509574794,0.0,10337297.852975741,0.0,15556016.955099076,0.0,10327396.63394958,0.0
 01/21  23:00:00,17104138.679703755,0.0,21259301.57580345,0.0,13577015.150885696,0.0,20389639.170532835,0.0,13564110.77289876,0.0
