,Load [W],Mass Flow Rate [kg/s]
2018-01-01 00:00:00,-102.47885361138118,0.1
2018-01-01 01:00:00,-118.0524405542433,0.1
2018-01-01 02:00:00,-82.76523549745639,0.1
2018-01-01 03:00:00,-37.387986559785325,0.1
2018-01-01 04:00:00,0.0,0.1
2018-01-01 05:00:00,0.0,0.1
2018-01-01 06:00:00,0.0,0.1
2018-01-01 07:00:00,0.0,0.1
2018-01-01 08:00:00,0.0,0.1
2018-01-01 09:00:00,0.0,0.1
2018-01-01 10:00:00,0.0,0.1
2018-01-01 11:00:00,0.0,0.1
2018-01-01 12:00:00,0.0,0.1
2018-01-01 13:00:00,0.0,0.1
2018-01-01 14:00:00,0.0,0.1
2018-01-01 15:00:00,0.0,0.1
2018-01-01 16:00:00,-58.666894361490385,0.1
2018-01-01 17:00:00,-95.7195255179605,0.1
2018-01-01 18:00:00,0.0,0.1
2018-01-01 19:00:00,0.0,0.1
2018-01-01 20:00:00,-58.630563508492244,0.1
2018-01-01 21:00:00,-59.62312737800655,0.1
2018-01-01 22:00:00,-97.52882433860404,0.1
2018-01-01 23:00:00,-180.21804073404218,0.1
2018-01-02 00:00:00,-131.615445816731,0.1
2018-01-02 01:00:00,-112.96142716752182,0.1
2018-01-02 02:00:00,-105.94036002039772,0.1
2018-01-02 03:00:00,-120.11005328470597,0.1
2018-01-02 04:00:00,-201.6692325588818,0.1
2018-01-02 05:00:00,-217.55327405431194,0.1
2018-01-02 06:00:00,-3447.46755062729,0.1
2018-01-02 07:00:00,-3368.4361924658238,0.1
2018-01-02 08:00:00,-2038.2967362703473,0.1
2018-01-02 09:00:00,-1739.484145465833,0.1
2018-01-02 10:00:00,-1438.3125684765716,0.1
2018-01-02 11:00:00,-1216.1088045979852,0.1
2018-01-02 12:00:00,-1249.3006706861138,0.1
2018-01-02 13:00:00,-880.1021952903214,0.1
2018-01-02 14:00:00,-628.1977748632329,0.1
2018-01-02 15:00:00,-532.768756052284,0.1
2018-01-02 16:00:00,-571.38348733668,0.1
2018-01-02 17:00:00,-1161.1840027406504,0.1
2018-01-02 18:00:00,-1496.8913408869053,0.1
2018-01-02 19:00:00,-1617.7246093833426,0.1
2018-01-02 20:00:00,-1701.635592152119,0.1
2018-01-02 21:00:00,-1737.6371968868248,0.1
2018-01-02 22:00:00,0.0,0.1
2018-01-02 23:00:00,0.0,0.1
2018-01-03 00:00:00,0.0,0.1
2018-01-03 01:00:00,0.0,0.1
2018-01-03 02:00:00,0.0,0.1
2018-01-03 03:00:00,0.0,0.1
2018-01-03 04:00:00,0.0,0.1
2018-01-03 05:00:00,0.0,0.1
2018-01-03 06:00:00,-2388.1235734721913,0.1
2018-01-03 07:00:00,-2578.8118636319773,0.1
2018-01-03 08:00:00,-1336.3383953910711,0.1
2018-01-03 09:00:00,-908.247545923422,0.1
2018-01-03 10:00:00,-657.8618894092824,0.1
2018-01-03 11:00:00,-542.0186997523208,0.1
2018-01-03 12:00:00,-556.7196864742781,0.1
2018-01-03 13:00:00,-356.60849627360136,0.1
2018-01-03 14:00:00,-308.81785369354446,0.1
2018-01-03 15:00:00,-298.5676636025142,0.1
2018-01-03 16:00:00,-312.14815273019104,0.1
2018-01-03 17:00:00,-737.1985704864151,0.1
2018-01-03 18:00:00,-1021.1534602342513,0.1
2018-01-03 19:00:00,-1200.7146206503028,0.1
2018-01-03 20:00:00,-1391.5531190817292,0.1
2018-01-03 21:00:00,-1474.7901481608621,0.1
2018-01-03 22:00:00,0.0,0.1
2018-01-03 23:00:00,0.0,0.1
2018-01-04 00:00:00,0.0,0.1
2018-01-04 01:00:00,0.0,0.1
2018-01-04 02:00:00,0.0,0.1
2018-01-04 03:00:00,0.0,0.1
2018-01-04 04:00:00,0.0,0.1
2018-01-04 05:00:00,0.0,0.1
2018-01-04 06:00:00,-2595.7275418831814,0.1
2018-01-04 07:00:00,-3254.575312339434,0.1
2018-01-04 08:00:00,-2427.9054554927643,0.1
2018-01-04 09:00:00,-2143.9368044108564,0.1
2018-01-04 10:00:00,-1992.9165429611676,0.1
2018-01-04 11:00:00,-1881.9072390912693,0.1
2018-01-04 12:00:00,-1959.6547754772953,0.1
2018-01-04 13:00:00,-1730.7337955231053,0.1
2018-01-04 14:00:00,-1814.0440544507305,0.1
2018-01-04 15:00:00,-1842.019112583538,0.1
2018-01-04 16:00:00,-1891.6678578255562,0.1
2018-01-04 17:00:00,-2516.418280384429,0.1
2018-01-04 18:00:00,-2869.0810067674365,0.1
2018-01-04 19:00:00,-3059.0416561583806,0.1
2018-01-04 20:00:00,-3229.0459849375734,0.1
2018-01-04 21:00:00,-3316.489321173003,0.1
2018-01-04 22:00:00,0.0,0.1
2018-01-04 23:00:00,0.0,0.1
2018-01-05 00:00:00,-272.07155005687343,0.1
2018-01-05 01:00:00,-415.82866853785015,0.1
2018-01-05 02:00:00,-587.2404891966547,0.1
